Found total 1983 regions
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11164,2011-03-02,A,550,31,Ekc,&beta;&gamma;&delta;,1,0,0,2,
11164,2011-03-03,A,400,41,Ekc,&beta;&gamma;&delta;,5,0,0,5,
11164,2011-03-04,A,470,21,Ekc,&beta;&gamma;,1,0,0,1,
11164,2011-03-05,A,570,27,Ekc,&beta;&gamma;&delta;,1,0,0,1,
11164,2011-03-06,A,770,28,Fkc,&beta;&gamma;&delta;,14,0,0,14,
11164,2011-03-07,A,640,25,Ekc,&beta;&gamma;&delta;,1,2,0,3,
11164,2011-03-08,A,760,20,Ekc,&beta;&gamma;&delta;,0,0,0,0,
11164,2011-03-09,A,580,23,Ekc,&beta;&gamma;&delta;,3,0,0,3,
11164,2011-03-10,A,350,9,Dai,&beta;&gamma;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11165,2011-02-27,A,20,3,Bxo,&beta;,0,0,0,1,
11165,2011-02-28,A,10,1,Axx,&alpha;,0,0,0,0,
11165,2011-03-01,A,20,4,Bxo,&beta;,1,0,0,1,
11165,2011-03-02,A,60,9,Cso,&beta;,0,0,0,0,
11165,2011-03-03,A,30,11,Bxo,&beta;,0,0,0,0,
11165,2011-03-04,A,10,5,Bxo,&beta;,0,0,0,0,
11165,2011-03-05,A,20,6,Bxo,&beta;,1,0,0,1,
11165,2011-03-06,A,160,14,Bxo,&beta;,7,0,0,7,
11165,2011-03-07,A,200,21,Eao,&beta;,5,3,0,8,
11165,2011-03-08,A,420,18,Fko,&beta;&gamma;&delta;,3,4,0,7,
11165,2011-03-09,A,200,5,Eki,&beta;&gamma;&delta;,1,0,0,1,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11166,2011-03-03,A,10,1,Hrx,&alpha;,1,0,0,1,
11166,2011-03-04,A,140,3,Dso,&beta;,0,0,0,0,
11166,2011-03-05,A,490,15,Eac,&beta;,1,0,0,1,
11166,2011-03-06,A,610,16,Eki,&beta;&gamma;,1,0,0,1,
11166,2011-03-07,A,360,16,Ekc,&beta;&gamma;,0,1,0,1,
11166,2011-03-08,A,410,25,Ekc,&beta;&gamma;&delta;,1,0,0,1,
11166,2011-03-09,A,550,35,Fkc,&beta;&gamma;&delta;,2,0,1,3,
11166,2011-03-10,A,630,55,Ekc,&beta;&gamma;&delta;,4,1,0,5,
11166,2011-03-11,A,750,25,Ekc,&beta;&gamma;,9,0,0,9,
11166,2011-03-12,A,690,47,Ekc,&beta;&gamma;&delta;,4,1,0,6,
11166,2011-03-13,A,770,29,Ekc,&beta;&gamma;&delta;,2,0,0,3,
11166,2011-03-14,A,640,14,Ekc,&beta;&gamma;,1,0,0,4,
11166,2011-03-15,A,450,9,Dao,&beta;&gamma;,1,1,0,4,
11166,2011-03-16,A,150,5,Dai,&beta;&gamma;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11176,2011-03-21,,,,,,2,0,0,2,
11176,2011-03-22,A,180,1,Hsx,&alpha;,2,0,0,2,
11176,2011-03-23,A,340,3,Dho,&beta;,1,1,0,2,
11176,2011-03-24,A,490,12,Eko,&beta;&gamma;,4,1,0,11,
11176,2011-03-25,A,380,25,Eki,&beta;&gamma;,3,1,0,5,
11176,2011-03-26,A,440,28,Ehi,&beta;&gamma;,1,0,0,2,
11176,2011-03-27,A,420,28,Fki,&beta;&gamma;,2,0,0,5,
11176,2011-03-28,A,400,27,Eki,&beta;&gamma;,1,0,0,3,
11176,2011-03-29,A,250,22,Fki,&beta;&gamma;,0,0,0,1,
11176,2011-03-30,A,210,21,Fsi,&beta;&gamma;,0,0,0,2,
11176,2011-03-31,A,220,15,Fso,&beta;,1,0,0,2,
11176,2011-04-01,A,140,10,Fso,&beta;,1,0,0,1,
11176,2011-04-02,A,100,4,Fso,&beta;,0,0,0,1,
11176,2011-04-03,A,100,3,Fso,&beta;,0,0,0,0,
11176,2011-04-04,A,40,1,Hsx,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11195,2011-04-18,,,,,,1,0,0,1,
11195,2011-04-19,,,,,,0,0,0,0,
11195,2011-04-20,A,20,1,Dao,&beta;,1,0,0,2,
11195,2011-04-21,A,100,7,Dai,&beta;,4,0,0,5,
11195,2011-04-22,A,240,10,Dai,&beta;,15,2,0,18,
11195,2011-04-23,A,340,25,Ekc,&beta;&gamma;,6,0,0,9,
11195,2011-04-24,A,310,22,Ekc,&beta;&gamma;,0,0,0,0,
11195,2011-04-25,A,300,23,Dho,&beta;,0,0,0,1,
11195,2011-04-26,A,400,25,Ehi,&beta;,0,0,0,0,
11195,2011-04-27,A,210,4,Eho,&beta;,0,0,0,1,
11195,2011-04-28,A,230,7,Dho,&beta;,0,0,0,0,
11195,2011-04-29,A,220,6,Dho,&beta;,1,0,0,1,
11195,2011-04-30,A,170,4,Dho,&beta;,1,0,0,2,
11195,2011-05-01,A,110,2,Dho,&beta;,0,0,0,1,
11195,2011-05-02,A,120,1,Hsx,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11226,2011-05-27,,,,,,4,0,0,5,
11226,2011-05-28,A,20,1,Hsx,&alpha;,15,0,0,15,
11226,2011-05-29,A,270,9,Eai,&beta;&delta;,11,1,0,13,
11226,2011-05-30,A,360,12,Eki,&beta;&delta;,2,0,0,3,
11226,2011-05-31,A,360,11,Dki,&beta;&gamma;,1,0,0,2,
11226,2011-06-01,A,330,18,Dkc,&beta;,3,0,0,4,
11226,2011-06-02,A,150,15,Csi,&beta;,2,0,0,2,
11226,2011-06-03,A,210,13,Dsi,&beta;,1,0,0,3,
11226,2011-06-04,A,340,21,Dkc,&beta;,0,0,0,1,
11226,2011-06-05,A,190,19,Dsi,&beta;,0,0,0,1,
11226,2011-06-06,A,100,10,Dao,&beta;,2,0,0,6,
11226,2011-06-07,A,80,8,Dao,&beta;,0,1,0,1,
11226,2011-06-08,A,20,3,Bxo,&beta;,0,0,0,1,
11226,2011-06-09,A,10,1,Axx,&alpha;,1,0,0,1,
11226,2011-06-10,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11261,2011-07-25,,,,,,0,0,0,1,
11261,2011-07-26,,,,,,0,0,0,0,
11261,2011-07-27,A,200,2,Dho,&beta;,0,0,0,0,
11261,2011-07-28,A,250,5,Dko,&beta;,1,0,0,1,
11261,2011-07-29,A,280,10,Dko,&beta;,9,0,0,13,
11261,2011-07-30,A,300,21,Dai,&beta;&gamma;,0,1,0,4,
11261,2011-07-31,A,350,23,Dkc,&beta;&gamma;&delta;,3,0,0,4,
11261,2011-08-01,A,350,35,Eki,&beta;&gamma;&delta;,5,0,0,6,
11261,2011-08-02,A,350,50,Fkc,&beta;&gamma;&delta;,3,1,0,7,
11261,2011-08-03,A,390,25,Fkc,&beta;&gamma;&delta;,4,2,0,6,
11261,2011-08-04,A,300,15,Dki,&beta;&gamma;,8,1,0,9,
