Found total 1983 regions
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11932,2013-12-21,A,10,1,Axx,&alpha;,1,0,0,1,
11932,2013-12-22,P,,0,,,0,0,0,0,
11932,2013-12-23,P,,0,,,0,0,0,0,
11932,2013-12-24,P,,0,,,0,0,0,0,
11932,2013-12-25,P,,0,,,0,0,0,0,
11932,2013-12-26,P,,0,,,0,0,0,0,
11932,2013-12-27,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11933,2013-12-11,,,,,,1,0,0,1,
11933,2013-12-12,,,,,,0,0,0,0,
11933,2013-12-13,,,,,,0,0,0,0,
11933,2013-12-14,,,,,,0,0,0,0,
11933,2013-12-15,,,,,,0,0,0,0,
11933,2013-12-16,,,,,,0,0,0,0,
11933,2013-12-17,,,,,,0,0,0,0,
11933,2013-12-18,,,,,,0,0,0,0,
11933,2013-12-19,,,,,,0,0,0,0,
11933,2013-12-20,,,,,,0,0,0,0,
11933,2013-12-21,A,40,4,Cso,&beta;,0,0,0,0,
11933,2013-12-22,A,60,3,Dao,&beta;,0,0,0,0,
11933,2013-12-23,A,40,1,Hsx,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11934,2013-12-19,,,,,,1,1,0,2,
11934,2013-12-20,,,,,,1,1,0,2,
11934,2013-12-21,A,80,3,Cao,&beta;,0,0,0,0,
11934,2013-12-22,A,140,5,Cao,&beta;,1,1,0,2,
11934,2013-12-23,A,160,9,Dac,&beta;&gamma;,1,0,0,1,
11934,2013-12-24,A,230,12,Dao,&beta;&gamma;,0,0,0,1,
11934,2013-12-25,A,200,16,Dao,&beta;&gamma;,1,0,0,1,
11934,2013-12-26,A,170,14,Cao,&beta;&gamma;,0,0,0,0,
11934,2013-12-27,A,150,15,Cao,&beta;&gamma;,4,0,0,5,
11934,2013-12-28,A,190,15,Esi,&beta;&gamma;,2,0,0,2,
11934,2013-12-29,A,160,15,Esi,&beta;&gamma;&delta;,0,0,0,2,
11934,2013-12-30,A,160,17,Esc,&beta;&gamma;&delta;,0,0,0,0,
11934,2013-12-31,A,140,9,Eac,&beta;&gamma;&delta;,0,0,0,0,
11934,2014-01-01,A,80,5,Eac,&beta;&gamma;&delta;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11935,2013-12-24,A,10,1,Bxo,&beta;,0,0,0,0,
11935,2013-12-25,A,10,1,Axx,&alpha;,0,0,0,0,
11935,2013-12-26,A,10,1,Axx,&alpha;,0,0,0,0,
11935,2013-12-27,A,10,1,Axx,&alpha;,0,0,0,0,
11935,2013-12-28,A,0,1,Axx,&alpha;,0,0,0,0,
11935,2013-12-29,P,,0,,,0,0,0,0,
11935,2013-12-30,P,,0,,,0,0,0,0,
11935,2013-12-31,P,,0,,,0,0,0,0,
11935,2014-01-01,P,,0,,,0,0,0,0,
11935,2014-01-02,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11936,2013-12-22,,,,,,1,0,0,1,
11936,2013-12-23,,,,,,1,0,0,1,
11936,2013-12-24,A,10,2,Bxo,&beta;,1,0,0,1,
11936,2013-12-25,A,50,5,Cao,&beta;,3,0,0,3,
11936,2013-12-26,A,50,7,Cao,&beta;&gamma;,1,0,0,1,
11936,2013-12-27,A,100,13,Eai,&beta;&gamma;,3,0,0,3,
11936,2013-12-28,A,110,12,Eai,&beta;&gamma;,4,0,0,4,
11936,2013-12-29,A,140,21,Eac,&beta;&gamma;,10,1,0,11,
11936,2013-12-30,A,170,30,Eac,&beta;&gamma;,3,0,0,3,
11936,2013-12-31,A,180,28,Eac,&beta;&gamma;&delta;,4,1,0,5,
11936,2014-01-01,A,280,36,Eac,&beta;&gamma;&delta;,1,1,0,2,
11936,2014-01-02,A,210,18,Eac,&beta;&gamma;&delta;,1,0,0,1,
11936,2014-01-03,A,160,9,Eai,&beta;&gamma;,0,0,0,0,
11936,2014-01-04,A,110,5,Dai,&beta;&gamma;,0,2,0,2,
11936,2014-01-05,A,60,2,Hsx,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11937,2013-12-27,A,10,3,Bxo,&beta;,0,0,0,0,
11937,2013-12-28,A,20,4,Bxo,&beta;,0,0,0,0,
11937,2013-12-29,A,10,5,Bxo,&beta;,0,0,0,0,
11937,2013-12-30,A,10,3,Bxo,&beta;,0,0,0,0,
11937,2013-12-31,A,10,3,Bxo,&beta;,0,0,0,0,
11937,2014-01-01,A,10,3,Bxo,&beta;,0,0,0,0,
11937,2014-01-02,P,,0,,,0,0,0,0,
11937,2014-01-03,P,,0,,,1,0,0,1,
11937,2014-01-04,A,30,8,Dao,&beta;&gamma;,0,0,0,0,
11937,2014-01-05,A,80,14,Dac,&beta;&gamma;,0,0,0,0,
11937,2014-01-06,A,160,21,Dac,&beta;&gamma;,0,0,0,0,
11937,2014-01-07,A,160,21,Dai,&beta;&gamma;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11938,2013-12-28,A,60,1,Hax,&alpha;,0,0,0,0,
11938,2013-12-29,A,120,3,Hax,&alpha;,0,0,0,0,
11938,2013-12-30,A,60,3,Cao,&beta;,0,0,0,0,
11938,2013-12-31,A,50,2,Hax,&alpha;,2,0,0,2,
11938,2014-01-01,A,30,3,Hax,&alpha;,0,0,0,0,
11938,2014-01-02,A,30,6,Cro,&beta;,0,0,0,0,
11938,2014-01-03,A,30,4,Cao,&beta;,0,0,0,0,
11938,2014-01-04,A,10,3,Bxo,&beta;,0,0,0,0,
11938,2014-01-05,A,10,3,Hrx,&alpha;,0,0,0,0,
11938,2014-01-06,A,10,3,Cro,&beta;,0,0,0,0,
11938,2014-01-07,A,10,1,Hrx,&alpha;,0,0,0,0,
11938,2014-01-08,A,10,1,Axx,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11939,2013-12-29,,,,,,1,0,0,1,
11939,2013-12-30,A,10,5,Bxo,&beta;,0,0,0,0,
11939,2013-12-31,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11940,2013-12-31,,,,,,2,0,0,2,
11940,2014-01-01,A,20,4,Dro,&beta;,1,0,0,1,
11940,2014-01-02,A,40,3,Cao,&beta;&gamma;,0,0,0,0,
11940,2014-01-03,A,70,7,Dao,&beta;,0,0,0,0,
11940,2014-01-04,A,70,4,Dao,&beta;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11941,2014-01-01,A,30,3,Dro,&beta;,0,0,0,0,
11941,2014-01-02,A,40,4,Dao,&beta;&gamma;,0,0,0,0,
11941,2014-01-03,A,30,4,Dao,&beta;,0,0,0,0,
11941,2014-01-04,A,20,3,Cso,&beta;,0,0,0,0,
11941,2014-01-05,A,20,1,Hrx,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11942,2013-12-31,,,,,,1,0,0,1,
11942,2014-01-01,A,20,1,Hrx,&alpha;,0,0,0,0,
11942,2014-01-02,A,20,1,Cro,&beta;,0,0,0,0,
11942,2014-01-03,A,30,4,Cao,&beta;,0,0,0,0,
11942,2014-01-04,A,30,4,Cao,&beta;,0,0,0,0,
11942,2014-01-05,A,30,1,Hsx,&alpha;,0,0,0,0,
11942,2014-01-06,A,20,3,Hsx,&alpha;,0,0,0,0,
11942,2014-01-07,A,20,3,Cro,&beta;,0,0,0,0,
11942,2014-01-08,A,10,1,Axx,&alpha;,0,0,0,0,
11942,2014-01-09,P,,0,,,0,0,0,0,
11942,2014-01-10,P,,0,,,0,0,0,0,
11942,2014-01-11,P,,0,,,0,0,0,0,
11942,2014-01-12,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11943,2013-12-31,,,,,,2,0,0,2,
11943,2014-01-01,A,20,1,Cro,&beta;,0,0,0,0,
11943,2014-01-02,A,20,1,Cro,&beta;,0,0,0,0,
11943,2014-01-03,A,20,2,Cro,&beta;,0,0,0,0,
11943,2014-01-04,A,10,3,Cro,&beta;,0,0,0,0,
11943,2014-01-05,A,20,3,Hrx,&alpha;,0,0,0,0,
11943,2014-01-06,A,30,7,Cro,&beta;,0,0,0,0,
11943,2014-01-07,A,10,1,Axx,&alpha;,0,0,0,0,
11943,2014-01-08,P,,0,,,0,0,0,0,
11943,2014-01-09,P,,0,,,0,0,0,0,
11943,2014-01-10,P,,0,,,0,0,0,0,
11943,2014-01-11,P,,0,,,0,0,0,0,
11943,2014-01-12,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11944,2014-01-01,,,,,,4,0,0,4,
11944,2014-01-02,A,250,3,Dko,&beta;,5,2,0,7,
11944,2014-01-03,A,1060,19,Fkc,&beta;&gamma;,9,2,0,11,
11944,2014-01-04,A,1280,37,Fkc,&beta;&gamma;,4,3,0,7,
11944,2014-01-05,A,1470,60,Fkc,&beta;&gamma;&delta;,3,0,0,3,
11944,2014-01-06,A,1480,11,Fkc,&beta;&gamma;&delta;,3,0,0,3,
11944,2014-01-07,A,1415,11,Fkc,&beta;&gamma;&delta;,5,1,1,7,
11944,2014-01-08,A,1540,11,Fkc,&beta;&gamma;&delta;,4,0,0,4,
11944,2014-01-09,A,1560,11,Fkc,&beta;&gamma;&delta;,1,0,0,1,
11944,2014-01-10,A,1420,52,Fkc,&beta;&gamma;&delta;,0,0,0,0,
11944,2014-01-11,A,1300,42,Fkc,&beta;&gamma;&delta;,9,0,0,9,
11944,2014-01-12,A,1300,37,Fkc,&beta;&gamma;&delta;,2,0,0,2,
11944,2014-01-13,A,1090,21,Fkc,&beta;&gamma;,3,1,0,4,
11944,2014-01-14,A,830,18,Fkc,&beta;&gamma;,2,0,0,2,
11944,2014-01-15,A,140,4,Dac,&beta;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11945,2014-01-03,A,10,4,Bxo,&beta;,0,0,0,0,
11945,2014-01-04,A,10,5,Dro,&beta;,0,0,0,0,
11945,2014-01-05,A,10,2,Axx,&alpha;,0,0,0,0,
11945,2014-01-06,A,10,1,Axx,&alpha;,0,0,0,0,
11945,2014-01-07,A,10,1,Axx,&alpha;,0,0,0,0,
11945,2014-01-08,P,,0,,,0,0,0,0,
11945,2014-01-09,P,,0,,,0,0,0,0,
11945,2014-01-10,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11946,2014-01-05,A,10,2,Bxo,&beta;,0,0,0,0,
11946,2014-01-06,A,80,8,Dai,&beta;,0,0,0,0,
11946,2014-01-07,A,140,11,Dac,&beta;&gamma;,1,1,0,2,
11946,2014-01-08,A,210,14,Dac,&beta;&gamma;,0,0,0,0,
11946,2014-01-09,A,290,18,Dki,&beta;&gamma;,1,0,0,1,
11946,2014-01-10,A,300,12,Dai,&beta;&gamma;,2,0,0,2,
11946,2014-01-11,A,350,14,Dkc,&beta;&gamma;,0,0,0,0,
11946,2014-01-12,A,190,15,Eai,&beta;&gamma;,0,0,0,0,
11946,2014-01-13,A,90,5,Dao,&beta;,0,0,0,0,
11946,2014-01-14,A,90,5,Dao,&beta;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11947,2014-01-07,A,30,4,Cro,&beta;,2,0,0,2,
11947,2014-01-08,A,20,3,Cro,&beta;,2,1,0,3,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11948,2014-01-07,A,60,1,Hsx,&alpha;,0,0,0,0,
11948,2014-01-08,A,60,1,Hsx,&alpha;,0,0,0,0,
11948,2014-01-09,A,60,1,Hsx,&alpha;,0,0,0,0,
11948,2014-01-10,A,90,1,Hsx,&alpha;,0,0,0,0,
11948,2014-01-11,A,90,1,Hsx,&alpha;,0,0,0,0,
11948,2014-01-12,A,80,1,Hsx,&alpha;,0,0,0,0,
11948,2014-01-13,A,100,2,Hsx,&alpha;,0,0,0,0,
11948,2014-01-14,A,90,1,Hax,&alpha;,0,0,0,0,
11948,2014-01-15,A,70,1,Hax,&alpha;,0,0,0,0,
11948,2014-01-16,A,100,1,Hax,&alpha;,0,0,0,0,
11948,2014-01-17,A,50,2,Hax,&alpha;,0,0,0,0,
11948,2014-01-18,A,40,1,Hax,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11949,2014-01-09,A,80,1,Hsx,&alpha;,0,0,0,0,
11949,2014-01-10,A,150,1,Hsx,&alpha;,0,0,0,0,
11949,2014-01-11,A,180,2,Hax,&alpha;,0,0,0,0,
11949,2014-01-12,A,140,3,Hsx,&alpha;,0,0,0,0,
11949,2014-01-13,A,180,2,Hax,&alpha;,0,0,0,0,
11949,2014-01-14,A,160,3,Hax,&alpha;,0,0,0,0,
11949,2014-01-15,A,110,2,Hax,&alpha;,0,0,0,0,
11949,2014-01-16,A,150,4,Hax,&alpha;,0,0,0,0,
11949,2014-01-17,A,110,2,Hax,&alpha;,0,0,0,0,
11949,2014-01-18,A,100,2,Hax,&alpha;,0,0,0,0,
11949,2014-01-19,A,80,3,Hax,&alpha;,0,0,0,0,
11949,2014-01-20,A,90,2,Hax,&alpha;,1,0,0,1,
11949,2014-01-21,A,20,2,Hax,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11950,2014-01-10,,,,,,1,0,0,1,
11950,2014-01-11,A,30,5,Cao,&beta;,1,0,0,1,
11950,2014-01-12,A,30,5,Dro,&beta;,0,0,0,0,
11950,2014-01-13,A,10,2,Bxo,&beta;,0,0,0,0,
11950,2014-01-14,P,,0,,,0,0,0,0,
11950,2014-01-15,A,10,5,Bxo,&beta;,0,0,0,0,
11950,2014-01-16,A,10,5,Cro,&beta;,0,0,0,0,
11950,2014-01-17,A,10,2,Axx,&alpha;,0,0,0,0,
11950,2014-01-18,P,,0,,,0,0,0,0,
11950,2014-01-19,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11951,2014-01-11,A,20,4,Cao,&beta;,0,0,0,0,
11951,2014-01-12,A,20,2,Cro,&beta;,0,0,0,0,
11951,2014-01-13,A,10,1,Axx,&alpha;,0,0,0,0,
11951,2014-01-14,P,,0,,,0,0,0,0,
11951,2014-01-15,P,,0,,,0,0,0,0,
11951,2014-01-16,P,,0,,,0,0,0,0,
11951,2014-01-17,P,,0,,,0,0,0,0,
11951,2014-01-18,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11952,2014-01-12,A,40,1,Hax,&alpha;,0,0,0,0,
11952,2014-01-13,A,110,2,Dso,&beta;,0,0,0,0,
11952,2014-01-14,A,120,6,Cso,&beta;,0,0,0,0,
11952,2014-01-15,A,70,4,Cso,&beta;,0,0,0,0,
11952,2014-01-16,A,110,3,Eso,&beta;,0,0,0,0,
11952,2014-01-17,A,60,3,Cso,&beta;,0,0,0,0,
11952,2014-01-18,A,60,3,Cso,&beta;,0,0,0,0,
11952,2014-01-19,A,50,1,Hax,&alpha;,0,0,0,0,
11952,2014-01-20,A,50,2,Hsx,&alpha;,0,0,0,0,
11952,2014-01-21,A,30,1,Hsx,&alpha;,2,0,0,2,
11952,2014-01-22,A,50,1,Hsx,&alpha;,0,0,0,0,
11952,2014-01-23,A,30,1,Hsx,&alpha;,0,0,0,0,
11952,2014-01-24,A,30,1,Hsx,&alpha;,0,0,0,0,
11952,2014-01-25,A,30,1,Hsx,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11953,2014-01-13,A,30,3,Dao,&beta;,1,0,0,1,
11953,2014-01-14,A,60,9,Dao,&beta;,0,0,0,0,
11953,2014-01-15,A,70,6,Dao,&beta;,0,0,0,0,
11953,2014-01-16,A,70,11,Dao,&beta;,1,0,0,1,
11953,2014-01-17,A,30,7,Dao,&beta;,2,0,0,2,
11953,2014-01-18,A,40,3,Cao,&beta;,0,0,0,0,
11953,2014-01-19,A,30,3,Cro,&beta;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11954,2014-01-15,A,10,3,Bxo,&beta;,0,0,0,0,
11954,2014-01-16,A,10,3,Axx,&alpha;,0,0,0,0,
11954,2014-01-17,P,,0,,,0,0,0,0,
11954,2014-01-18,P,,0,,,0,0,0,0,
11954,2014-01-19,A,10,1,Axx,&alpha;,0,0,0,0,
11954,2014-01-20,P,,0,,,0,0,0,0,
11954,2014-01-21,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11955,2014-01-17,A,70,1,Hsx,&alpha;,0,0,0,0,
11955,2014-01-18,A,70,1,Hsx,&alpha;,1,0,0,1,
11955,2014-01-19,A,60,3,Hax,&alpha;,0,0,0,0,
11955,2014-01-20,A,60,2,Hax,&alpha;,0,0,0,0,
11955,2014-01-21,A,40,1,Hax,&alpha;,0,0,0,1,
11955,2014-01-22,A,50,2,Hax,&alpha;,1,0,0,2,
11955,2014-01-23,A,40,2,Cao,&beta;,0,0,0,0,
11955,2014-01-24,A,20,2,Cao,&beta;,0,0,0,1,
11955,2014-01-25,A,20,4,Cao,&beta;,0,0,0,0,
11955,2014-01-26,A,20,2,Hax,&alpha;,0,0,0,0,
11955,2014-01-27,A,20,1,Hrx,&alpha;,0,0,0,0,
11955,2014-01-28,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11956,2014-01-18,A,10,2,Axx,&alpha;,0,0,0,0,
11956,2014-01-19,P,,0,,,0,0,0,0,
11956,2014-01-20,P,,0,,,0,0,0,0,
11956,2014-01-21,P,,0,,,0,0,0,0,
11956,2014-01-22,P,,0,,,0,0,0,0,
11956,2014-01-23,P,,0,,,0,0,0,0,
11956,2014-01-24,P,,0,,,0,0,0,0,
11956,2014-01-25,P,,0,,,0,0,0,0,
11956,2014-01-26,P,,0,,,0,0,0,0,
11956,2014-01-27,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11957,2014-01-18,A,30,2,Cro,&beta;,0,0,0,0,
11957,2014-01-19,A,30,7,Cro,&beta;,0,0,0,0,
11957,2014-01-20,A,30,9,Cri,&beta;,0,0,0,0,
11957,2014-01-21,A,30,8,Dro,&beta;,0,0,0,0,
11957,2014-01-22,A,60,12,Dai,&beta;&gamma;,0,0,0,0,
11957,2014-01-23,A,90,14,Dai,&beta;&gamma;,0,0,0,2,
11957,2014-01-24,A,80,12,Dai,&beta;&gamma;,0,0,0,1,
11957,2014-01-25,A,170,26,Eai,&beta;,0,0,0,1,
11957,2014-01-26,A,70,6,Cao,&beta;&gamma;,0,0,0,0,
11957,2014-01-27,A,30,4,Cao,&beta;,0,0,0,0,
11957,2014-01-28,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11958,2014-01-18,A,10,1,Hax,&alpha;,0,0,0,0,
11958,2014-01-19,A,30,1,Hax,&alpha;,0,0,0,0,
11958,2014-01-20,A,40,1,Hax,&alpha;,0,0,0,0,
11958,2014-01-21,A,50,1,Cso,&beta;,0,0,0,0,
11958,2014-01-22,A,50,4,Cso,&beta;,0,0,0,0,
11958,2014-01-23,A,30,2,Hax,&alpha;,0,0,0,0,
11958,2014-01-24,A,10,2,Hrx,&alpha;,0,0,0,0,
11958,2014-01-25,A,10,1,Hrx,&alpha;,0,0,0,0,
11958,2014-01-26,A,10,3,Bxo,&beta;,0,0,0,0,
11958,2014-01-27,A,10,2,Bxo,&beta;,0,0,0,0,
11958,2014-01-28,P,,0,,,0,0,0,0,
11958,2014-01-29,P,,0,,,0,0,0,0,
11958,2014-01-30,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11959,2014-01-16,,,,,,2,0,0,2,
11959,2014-01-17,,,,,,10,0,0,10,
11959,2014-01-18,,,,,,6,0,0,6,
11959,2014-01-19,A,70,3,Cao,&beta;,2,0,0,3,
11959,2014-01-20,A,110,4,Dai,&beta;,3,0,0,3,
11959,2014-01-21,A,190,7,Eai,&beta;&gamma;,1,0,0,2,
11959,2014-01-22,A,220,14,Eai,&beta;&gamma;,0,0,0,1,
11959,2014-01-23,A,120,11,Eao,&beta;&gamma;,0,0,0,1,
11959,2014-01-24,A,160,5,Cao,&beta;&gamma;,1,0,0,1,
11959,2014-01-25,A,180,11,Eao,&beta;,0,0,0,1,
11959,2014-01-26,A,170,11,Dsi,&beta;,0,0,0,0,
11959,2014-01-27,A,180,7,Dso,&beta;,0,0,0,0,
11959,2014-01-28,A,150,5,Dso,&beta;,0,0,0,0,
11959,2014-01-29,A,140,6,Cso,&beta;,0,0,0,0,
11959,2014-01-30,A,90,1,Hax,&alpha;,0,0,0,0,
11959,2014-01-31,A,60,1,Hax,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11960,2014-01-19,A,140,2,Hax,&alpha;,0,0,0,0,
11960,2014-01-20,A,150,1,Hax,&alpha;,0,0,0,0,
11960,2014-01-21,A,200,1,Hax,&alpha;,0,0,0,0,
11960,2014-01-22,A,260,2,Hkx,&alpha;,0,0,0,0,
11960,2014-01-23,A,270,2,Hkx,&alpha;,0,0,0,0,
11960,2014-01-24,A,200,1,Hax,&alpha;,0,0,0,0,
11960,2014-01-25,A,220,6,Cao,&beta;,0,0,0,1,
11960,2014-01-26,A,230,6,Cao,&beta;,1,0,0,1,
11960,2014-01-27,A,200,8,Cao,&beta;,0,0,0,0,
11960,2014-01-28,A,150,4,Cao,&beta;,0,0,0,0,
11960,2014-01-29,A,90,6,Dai,&beta;,1,0,0,1,
11960,2014-01-30,A,70,3,Hsx,&alpha;,0,0,0,0,
11960,2014-01-31,A,50,2,Hsx,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11961,2014-01-21,A,40,6,Dao,&beta;,0,0,0,0,
11961,2014-01-22,A,60,10,Dao,&beta;,0,0,0,0,
11961,2014-01-23,A,50,5,Dso,&beta;,0,0,0,0,
11961,2014-01-24,A,30,3,Cso,&beta;,0,0,0,0,
11961,2014-01-25,A,30,1,Hsx,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11962,2014-01-21,A,20,3,Cro,&beta;,0,0,0,0,
11962,2014-01-22,P,,0,,,0,0,0,0,
11962,2014-01-23,P,,0,,,0,0,0,0,
11962,2014-01-24,P,,0,,,0,0,0,0,
11962,2014-01-25,P,,0,,,0,0,0,0,
11962,2014-01-26,P,,0,,,0,0,0,0,
11962,2014-01-27,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11963,2014-01-20,,,,,,2,0,0,2,
11963,2014-01-21,,,,,,0,0,0,0,
11963,2014-01-22,A,60,4,Cso,&beta;,0,0,0,0,
11963,2014-01-23,A,10,3,Bxo,&beta;,0,0,0,0,
11963,2014-01-24,A,10,3,Axx,&alpha;,0,0,0,1,
11963,2014-01-25,A,10,8,Axx,&alpha;,0,0,0,0,
11963,2014-01-26,P,,0,,,0,0,0,0,
11963,2014-01-27,P,,0,,,0,0,0,0,
11963,2014-01-28,P,,0,,,0,0,0,0,
11963,2014-01-29,P,,0,,,0,0,0,0,
11963,2014-01-30,P,,0,,,0,0,0,0,
11963,2014-01-31,P,,0,,,0,0,0,0,
11963,2014-02-01,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11964,2014-01-20,,,,,,2,0,0,2,
11964,2014-01-21,,,,,,0,0,0,0,
11964,2014-01-22,A,10,2,Bxo,&beta;,0,0,0,0,
11964,2014-01-23,A,10,2,Axx,&alpha;,0,0,0,0,
11964,2014-01-24,P,,0,,,0,0,0,0,
11964,2014-01-25,P,,0,,,0,0,0,0,
11964,2014-01-26,P,,0,,,0,0,0,0,
11964,2014-01-27,A,0,1,Axx,&alpha;,0,0,0,0,
11964,2014-01-28,P,,0,,,0,0,0,0,
11964,2014-01-29,P,,0,,,0,0,0,0,
11964,2014-01-30,P,,0,,,0,0,0,0,
11964,2014-01-31,P,,0,,,0,0,0,0,
11964,2014-02-01,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11965,2014-01-23,A,20,2,Hrx,&alpha;,0,0,0,0,
11965,2014-01-24,A,20,2,Hrx,&alpha;,0,0,0,0,
11965,2014-01-25,A,10,2,Axx,&alpha;,0,0,0,0,
11965,2014-01-26,A,0,1,Axx,&alpha;,0,0,0,0,
11965,2014-01-27,A,10,1,Axx,&alpha;,0,0,0,0,
11965,2014-01-28,A,10,1,Axx,&alpha;,0,0,0,0,
11965,2014-01-29,P,,0,,,0,0,0,0,
11965,2014-01-30,A,20,2,Cro,&beta;,0,0,0,0,
11965,2014-01-31,A,10,5,Bxo,&beta;,0,0,0,0,
11965,2014-02-01,P,,0,,,0,0,0,0,
11965,2014-02-02,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11966,2014-01-26,A,20,3,Cro,&beta;,0,0,0,0,
11966,2014-01-27,A,10,5,Bxo,&beta;,0,0,0,0,
11966,2014-01-28,P,,0,,,0,0,0,0,
11966,2014-01-29,P,,0,,,0,0,0,0,
11966,2014-01-30,P,,0,,,0,0,0,0,
11966,2014-01-31,P,,0,,,0,0,0,0,
11966,2014-02-01,P,,0,,,0,0,0,0,
11966,2014-02-02,P,,0,,,0,0,0,0,
11966,2014-02-03,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11967,2014-01-26,,,,,,1,0,0,1,
11967,2014-01-27,,,,,,5,3,0,8,
11967,2014-01-28,A,120,1,Dso,&beta;,7,8,0,15,
11967,2014-01-29,A,580,13,Eki,&beta;&gamma;,8,0,0,8,
11967,2014-01-30,A,980,29,Fkc,&beta;&gamma;&delta;,6,3,0,9,
11967,2014-01-31,A,1190,42,Fkc,&beta;&gamma;&delta;,7,0,0,7,
11967,2014-02-01,A,1000,49,Fkc,&beta;&gamma;&delta;,8,2,0,10,
11967,2014-02-02,A,1410,86,Fkc,&beta;&gamma;&delta;,4,4,0,8,
11967,2014-02-03,A,1510,94,Fkc,&beta;&gamma;&delta;,9,0,0,9,
